Payment,Product line,Invoice ID,Branch,City,Customer type,Gender,Unit price,Quantity,Tax 5%,Total,date,Time,cogs,gross income,Rating,day_of_week,hour,profit_margin,rush_hour,spending_category,rating_sentiment,avg_product_rating,total_revenue,avg_transaction,num_transactions
Cash,Electronic accessories,542410513,b,mandalay,Member,female,5749,4,11498,241458,20190315,1157,22996,11498,66,6,11,004761904968791138,no,medium,neutral,69.24705882352941,3.10603461E8,902917.0377906977,344
Cash,Electronic accessories,389253394,c,naypyitaw,Normal,male,1181,5,29525,620025,20190217,1806,5905,29525,94,1,18,004761905036569475,yes,low,positive,69.24705882352941,3.10603461E8,902917.0377906977,344
Credit card,Home and lifestyle,126541082,a,yangon,Member,female,2154,9,9693,203553,20190107,1144,19386,9693,88,2,11,0047619048288353366,no,medium,positive,68.375,2.70194988E8,868794.1736334405,311
Ewallet,Electronic accessories,760902357,a,yangon,Member,male,7451,6,22353,469413,20190320,1508,44706,22353,50,4,15,004761904955393494,no,medium,neutral,69.24705882352941,2.96273397E8,858763.4695652174,345
Cash,Food and beverages,434839547,c,naypyitaw,Member,male,3847,8,15388,323148,20190123,1151,30776,15388,77,4,11,00476190446678479,no,medium,positive,71.13218390804597,3.10603461E8,902917.0377906977,344
Cash,Fashion accessories,725329708,b,mandalay,Member,female,6871,4,13742,288582,20190104,1901,27484,13742,41,6,19,0047619046202751515,no,medium,neutral,70.29213483146067,3.10603461E8,902917.0377906977,344
Credit card,Electronic accessories,810606344,c,naypyitaw,Normal,female,4086,8,16344,343224,20190207,1438,32688,16344,65,5,14,004761904735442123,no,medium,neutral,69.24705882352941,2.70194988E8,868794.1736334405,311
Ewallet,Food and beverages,746190921,c,naypyitaw,Normal,male,2158,1,1079,22659,20190209,1002,2158,1079,72,7,10,0047619046616949955,no,low,positive,71.13218390804597,2.96273397E8,858763.4695652174,345
Ewallet,Electronic accessories,575671508,a,yangon,Normal,male,386,1,193,4053,20190129,1126,386,193,67,3,11,004761904775910765,no,low,neutral,69.24705882352941,2.96273397E8,858763.4695652174,345
Credit card,Fashion accessories,339124827,b,mandalay,Member,female,7396,1,3698,77658,20190105,1132,7396,3698,50,7,11,004761904878861326,no,low,neutral,70.29213483146067,2.70194988E8,868794.1736334405,311
Ewallet,Sports and travel,445309252,a,yangon,Normal,male,257,3,3855,80955,20190117,1759,771,3855,61,5,17,0047619046777597526,yes,low,neutral,69.16265060240964,2.96273397E8,858763.4695652174,345
Credit card,Health and beauty,704104056,c,naypyitaw,Member,male,6047,3,90705,1904805,20190114,1055,18141,90705,56,2,10,0047619049764766296,no,medium,neutral,70.03289473684211,2.70194988E8,868794.1736334405,311
Cash,Home and lifestyle,867471948,c,naypyitaw,Normal,female,158,10,79,1659,20190109,1207,1580,79,78,4,12,004761904994581704,yes,medium,positive,68.375,3.10603461E8,902917.0377906977,344
Credit card,Fashion accessories,788215741,a,yangon,Normal,male,4538,3,6807,142947,20190217,1334,13614,6807,72,1,13,004761904666597283,yes,medium,positive,70.29213483146067,2.70194988E8,868794.1736334405,311
Ewallet,Home and lifestyle,777672495,b,mandalay,Normal,male,6897,3,103455,2172555,20190222,1126,20691,103455,87,6,11,004761904908226235,no,medium,positive,68.375,2.96273397E8,858763.4695652174,345
Ewallet,Sports and travel,232162483,c,naypyitaw,Member,female,6812,1,3406,71526,20190107,1228,6812,3406,68,2,12,004761904555556788,yes,low,neutral,69.16265060240964,2.96273397E8,858763.4695652174,345
Ewallet,Sports and travel,851286367,a,yangon,Member,male,155,10,775,16275,20190323,1055,1550,775,80,7,10,0047619047619047616,no,medium,positive,69.16265060240964,2.96273397E8,858763.4695652174,345
Credit card,Electronic accessories,439547422,a,yangon,Normal,female,5119,4,10238,214998,20190318,1715,20476,10238,47,2,17,004761904698537109,yes,medium,neutral,69.24705882352941,2.70194988E8,868794.1736334405,311
Ewallet,Sports and travel,701698742,b,mandalay,Normal,male,3437,10,17185,360885,20190316,1011,3437,17185,67,7,10,004761904485061071,no,medium,neutral,69.16265060240964,2.96273397E8,858763.4695652174,345
Cash,Fashion accessories,789238625,b,mandalay,Member,male,9322,3,13983,293643,20190124,1145,27966,13983,72,5,11,004761904607250771,no,medium,positive,70.29213483146067,3.10603461E8,902917.0377906977,344
Credit card,Food and beverages,182882763,b,mandalay,Member,male,7991,3,119865,2517165,20190320,1928,23973,119865,50,4,19,00476190454540853,no,medium,neutral,71.13218390804597,2.70194988E8,868794.1736334405,311
Ewallet,Electronic accessories,636488204,a,yangon,Normal,male,3456,5,864,18144,20190217,1115,1728,864,99,1,11,004761904887050987,no,medium,positive,69.24705882352941,2.96273397E8,858763.4695652174,345
Ewallet,Sports and travel,549591358,a,yangon,Member,male,8863,3,132945,2791845,20190302,1736,26589,132945,60,7,17,0047619047293721094,yes,medium,neutral,69.16265060240964,2.96273397E8,858763.4695652174,345
Ewallet,Health and beauty,635285728,a,yangon,Normal,male,560,3,84,1764,20190228,1933,1680,84,48,5,19,004761904710416027,no,medium,neutral,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Home and lifestyle,809699497,a,yangon,Normal,female,4568,10,2284,47964,20190119,1930,4568,2284,57,7,19,004761904648286895,no,medium,neutral,68.375,2.96273397E8,858763.4695652174,345
Credit card,Food and beverages,746041077,b,mandalay,Member,female,8463,10,42315,888615,20190101,1136,8463,42315,90,3,11,004761904659693876,no,high,positive,71.13218390804597,2.70194988E8,868794.1736334405,311
Ewallet,Health and beauty,371855789,b,mandalay,Normal,male,8798,3,13197,277137,20190305,1040,26394,13197,51,3,10,004761904712745252,no,medium,neutral,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Health and beauty,333737901,c,naypyitaw,Normal,female,5492,8,21968,461328,20190323,1324,43936,21968,76,7,13,0047619048209686765,yes,medium,positive,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Health and beauty,838784295,c,naypyitaw,Normal,female,3347,2,3347,70287,20190210,1543,6694,3347,67,1,15,0047619044226975535,no,low,neutral,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Health and beauty,749241565,a,yangon,Normal,female,2303,9,103635,2176335,20190103,1202,20727,103635,79,5,12,004761904615837433,yes,medium,positive,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Fashion accessories,573589734,b,mandalay,Normal,female,3037,3,45555,956655,20190328,1341,9111,45555,51,5,13,004761904951787485,yes,low,neutral,70.29213483146067,2.96273397E8,858763.4695652174,345
Credit card,Food and beverages,540114336,a,yangon,Normal,male,2494,9,11223,235683,20190111,1649,22446,11223,56,6,16,0047619046077551186,no,medium,neutral,71.13218390804597,2.70194988E8,868794.1736334405,311
Cash,Food and beverages,639761242,c,naypyitaw,Normal,male,4052,5,1013,21273,20190203,1519,2026,1013,45,1,15,0047619049113389954,no,medium,neutral,71.13218390804597,3.10603461E8,902917.0377906977,344
Ewallet,Fashion accessories,641963695,c,naypyitaw,Member,female,4346,6,13038,273798,20190207,1755,26076,13038,85,5,17,004761904728732086,yes,medium,positive,70.29213483146067,2.96273397E8,858763.4695652174,345
Ewallet,Fashion accessories,735329839,c,naypyitaw,Member,male,987,8,3948,82908,20190131,1036,7896,3948,85,5,10,0047619046085340705,no,high,positive,70.29213483146067,2.96273397E8,858763.4695652174,345
Credit card,Electronic accessories,448613783,a,yangon,Normal,female,9002,8,36008,756168,20190321,1608,72016,36008,45,5,16,004761904497654664,no,high,neutral,69.24705882352941,2.70194988E8,868794.1736334405,311
Ewallet,Fashion accessories,522578364,a,yangon,Member,male,5134,8,20536,431256,20190131,1000,41072,20536,76,5,10,004761904467053045,no,medium,positive,70.29213483146067,2.96273397E8,858763.4695652174,345
Ewallet,Food and beverages,518716847,b,mandalay,Member,male,266,6,798,16758,20190226,1510,1596,798,49,3,15,004761904721255762,no,medium,neutral,71.13218390804597,2.96273397E8,858763.4695652174,345
Cash,Fashion accessories,649296775,b,mandalay,Normal,male,3352,1,1676,35196,20190208,1531,3352,1676,67,6,15,004761904874805179,no,low,neutral,70.29213483146067,3.10603461E8,902917.0377906977,344
Ewallet,Sports and travel,674159296,a,yangon,Normal,male,3714,5,9285,194985,20190108,1305,1857,9285,50,3,13,0047619046687425955,yes,medium,neutral,69.16265060240964,2.96273397E8,858763.4695652174,345
Cash,Health and beauty,559615987,b,mandalay,Normal,female,1775,1,08875,186375,20190114,1038,1775,08875,86,2,10,004761904503010719,no,low,positive,70.03289473684211,3.10603461E8,902917.0377906977,344
Cash,Fashion accessories,279621445,c,naypyitaw,Member,female,1254,1,0627,13167,20190221,1238,1254,0627,82,5,12,004761904632567033,yes,low,positive,70.29213483146067,3.10603461E8,902917.0377906977,344
Cash,Food and beverages,320328842,c,naypyitaw,Member,female,2262,1,1131,23751,20190317,1858,2262,1131,64,1,18,0047619050487120354,yes,low,neutral,71.13218390804597,3.10603461E8,902917.0377906977,344
Ewallet,Health and beauty,425852085,b,mandalay,Member,male,5486,5,13715,288015,20190329,1648,2743,13715,98,6,16,0047619045726935316,no,medium,positive,70.03289473684211,2.96273397E8,858763.4695652174,345
Cash,Fashion accessories,582528065,b,mandalay,Normal,female,5431,9,244395,5132295,20190222,1049,48879,244395,89,6,10,004761904991965514,no,high,positive,70.29213483146067,3.10603461E8,902917.0377906977,344
Ewallet,Home and lifestyle,558605016,a,yangon,Normal,female,333,9,14985,314685,20190304,1527,2997,14985,72,2,15,004761904689748379,no,medium,positive,68.375,2.96273397E8,858763.4695652174,345
Ewallet,Health and beauty,743041105,b,mandalay,Member,male,9722,9,43749,918729,20190330,1443,87498,43749,60,7,14,004761904801449013,no,high,neutral,70.03289473684211,2.96273397E8,858763.4695652174,345
Credit card,Electronic accessories,243472663,c,naypyitaw,Member,male,1877,6,5631,118251,20190128,1643,11262,5631,55,2,16,004761904819510697,no,medium,neutral,69.24705882352941,2.70194988E8,868794.1736334405,311
Cash,Fashion accessories,598067312,b,mandalay,Member,male,9135,1,45675,959175,20190216,1542,9135,45675,68,7,15,004761904714558802,no,low,neutral,70.29213483146067,3.10603461E8,902917.0377906977,344
Cash,Fashion accessories,574318277,b,mandalay,Member,male,3363,1,16815,353115,20190320,1955,3363,16815,56,4,19,004761904568994257,no,low,neutral,70.29213483146067,3.10603461E8,902917.0377906977,344
Credit card,Health and beauty,595115460,a,yangon,Normal,male,9658,2,9658,202818,20190315,1012,19316,9658,51,6,10,0047619049186420584,no,medium,neutral,70.03289473684211,2.70194988E8,868794.1736334405,311
Cash,Health and beauty,498411961,b,mandalay,Normal,male,6668,5,1667,35007,20190220,1801,3334,1667,76,4,18,004761904684069366,yes,medium,positive,70.03289473684211,3.10603461E8,902917.0377906977,344
Ewallet,Fashion accessories,595862894,c,naypyitaw,Member,male,9698,4,19396,407316,20190206,1720,38792,19396,94,4,17,004761904628112635,yes,medium,positive,70.29213483146067,2.96273397E8,858763.4695652174,345
Ewallet,Fashion accessories,192987397,c,naypyitaw,Normal,male,1278,1,0639,13419,20190108,1411,1278,0639,95,3,14,004761904867662139,no,low,positive,70.29213483146067,2.96273397E8,858763.4695652174,345
Cash,Sports and travel,387494215,b,mandalay,Member,female,485,3,7275,152775,20190108,1250,1455,7275,67,3,12,004761905014571133,yes,medium,neutral,69.16265060240964,3.10603461E8,902917.0377906977,344
Cash,Food and beverages,277355865,c,naypyitaw,Member,female,9897,9,445365,9352665,20190309,1123,89073,445365,67,7,11,0047619047619047616,no,high,neutral,71.13218390804597,3.10603461E8,902917.0377906977,344
Ewallet,Food and beverages,266206657,c,naypyitaw,Member,male,5504,7,19264,404544,20190312,1939,38528,19264,52,3,19,004761904672098833,no,medium,neutral,71.13218390804597,2.96273397E8,858763.4695652174,345
Cash,Fashion accessories,418050656,b,mandalay,Normal,female,2556,7,8946,187866,20190202,2042,17892,8946,71,7,20,004761904882770335,no,medium,positive,70.29213483146067,3.10603461E8,902917.0377906977,344
Ewallet,Fashion accessories,676102200,b,mandalay,Member,male,5378,1,2689,56469,20190203,2013,5378,2689,47,1,20,004761904420114558,no,low,neutral,70.29213483146067,2.96273397E8,858763.4695652174,345
Cash,Health and beauty,280174359,c,naypyitaw,Member,male,905,10,4525,95025,20190125,1348,9050,4525,81,6,13,0047619047619047616,yes,high,positive,70.03289473684211,3.10603461E8,902917.0377906977,344
Cash,Sports and travel,286015402,a,yangon,Normal,female,4023,7,140805,2956905,20190330,1322,28161,140805,96,7,13,0047619047926213826,yes,medium,positive,69.16265060240964,3.10603461E8,902917.0377906977,344
Ewallet,Health and beauty,408666712,c,naypyitaw,Member,female,4771,6,14313,300573,20190216,1419,28626,14313,44,7,14,0047619047014694424,no,medium,neutral,70.03289473684211,2.96273397E8,858763.4695652174,345
Credit card,Food and beverages,176647711,b,mandalay,Normal,male,3232,3,4848,101808,20190327,1911,9696,4848,43,4,19,004761904873421203,no,medium,neutral,71.13218390804597,2.70194988E8,868794.1736334405,311
Cash,Health and beauty,605032706,a,yangon,Normal,female,158,3,237,4977,20190325,1802,474,237,95,2,18,004761904488167196,yes,low,positive,70.03289473684211,3.10603461E8,902917.0377906977,344
Credit card,Electronic accessories,214302776,b,mandalay,Member,female,3449,5,86225,1810725,20190311,1944,17245,86225,90,2,19,0047619051381054336,no,medium,positive,69.24705882352941,2.70194988E8,868794.1736334405,311
Credit card,Health and beauty,656959349,a,yangon,Member,female,6893,7,241255,5066355,20190311,1103,48251,241255,46,2,11,004761904726050138,no,high,neutral,70.03289473684211,2.70194988E8,868794.1736334405,311
Cash,Electronic accessories,841356630,c,naypyitaw,Normal,female,7591,6,22773,478233,20190309,1821,45546,22773,87,7,18,0047619048948489284,yes,medium,positive,69.24705882352941,3.10603461E8,902917.0377906977,344
Cash,Home and lifestyle,733019107,b,mandalay,Normal,male,827,6,2481,52101,20190305,1814,4962,2481,74,3,18,0047619045701450334,yes,high,positive,68.375,3.10603461E8,902917.0377906977,344
Ewallet,Health and beauty,505020892,b,mandalay,Member,male,4257,8,17028,357588,20190225,1412,34056,17028,56,2,14,004761904558707513,no,medium,neutral,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Fashion accessories,747587183,b,mandalay,Normal,male,5727,3,85905,1804005,20190209,2031,17181,85905,65,7,20,0047619047619047616,no,medium,neutral,70.29213483146067,2.96273397E8,858763.4695652174,345
Credit card,Fashion accessories,801880346,c,naypyitaw,Normal,female,7606,3,11409,239589,20190105,2030,22818,11409,98,7,20,004761904837723037,no,medium,positive,70.29213483146067,2.70194988E8,868794.1736334405,311
Credit card,Sports and travel,860736466,a,yangon,Member,female,3947,2,3947,82887,20190302,1616,7894,3947,50,7,16,004761904734510199,no,low,neutral,69.16265060240964,2.70194988E8,868794.1736334405,311
Cash,Fashion accessories,566195475,b,mandalay,Normal,male,4797,7,167895,3525795,20190107,2052,33579,167895,62,2,20,004761904581581493,no,medium,neutral,70.29213483146067,3.10603461E8,902917.0377906977,344
Ewallet,Sports and travel,509293912,a,yangon,Member,female,3872,9,17424,365904,20190320,1224,34848,17424,42,4,12,004761904811549547,yes,medium,neutral,69.16265060240964,2.96273397E8,858763.4695652174,345
Credit card,Electronic accessories,250817186,c,naypyitaw,Normal,female,9969,1,49845,1046745,20190227,1023,9969,49845,80,4,10,004761904718519732,no,medium,positive,69.24705882352941,2.70194988E8,868794.1736334405,311
Cash,Fashion accessories,497360989,a,yangon,Normal,male,5194,3,7791,163611,20190215,1521,15582,7791,79,6,15,0047619049145667815,no,medium,positive,70.29213483146067,3.10603461E8,902917.0377906977,344
Ewallet,Health and beauty,160222687,a,yangon,Member,female,9595,5,239875,5037375,20190123,1421,47975,239875,88,4,14,0047619047258438664,no,high,positive,70.03289473684211,2.96273397E8,858763.4695652174,345
Credit card,Sports and travel,584867256,c,naypyitaw,Member,male,3456,7,12096,254016,20190311,1607,24192,12096,73,2,16,004761904529490347,no,medium,positive,69.16265060240964,2.70194988E8,868794.1736334405,311
Ewallet,Electronic accessories,411770180,a,yangon,Member,male,722,7,2527,53067,20190326,2014,5054,2527,43,3,20,004761905001519927,no,high,neutral,69.24705882352941,2.96273397E8,858763.4695652174,345
Ewallet,Health and beauty,186093669,c,naypyitaw,Member,female,8151,1,40755,855855,20190122,1057,8151,40755,92,3,10,004761904629250687,no,low,positive,70.03289473684211,2.96273397E8,858763.4695652174,345
Cash,Health and beauty,149140304,c,naypyitaw,Member,female,285,8,114,2394,20190206,1424,2280,114,66,4,14,0047619047239656945,no,medium,neutral,70.03289473684211,3.10603461E8,902917.0377906977,344
Ewallet,Health and beauty,516776464,c,naypyitaw,Member,female,1016,5,254,5334,20190224,1308,508,254,41,1,13,004761904676765912,yes,low,neutral,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Food and beverages,186715196,a,yangon,Member,female,7954,2,7954,167034,20190327,1630,15908,7954,62,4,16,004761904857062468,no,medium,neutral,71.13218390804597,2.96273397E8,858763.4695652174,345
Credit card,Food and beverages,488254221,c,naypyitaw,Member,female,3041,1,15205,319305,20190222,1036,3041,15205,84,6,10,004761904584123868,no,low,positive,71.13218390804597,2.70194988E8,868794.1736334405,311
Credit card,Health and beauty,793103222,b,mandalay,Member,female,4106,6,12318,258678,20190305,1330,24636,12318,83,3,13,0047619045336790164,yes,medium,positive,70.03289473684211,2.70194988E8,868794.1736334405,311
Cash,Sports and travel,741733559,b,mandalay,Normal,male,6727,5,168175,3531675,20190227,1727,33635,168175,69,4,17,004761904376141112,yes,medium,neutral,69.16265060240964,3.10603461E8,902917.0377906977,344
Credit card,Sports and travel,600389738,c,naypyitaw,Member,male,7192,5,1798,37758,20190117,1505,3596,1798,43,5,15,0047619048100143696,no,medium,neutral,69.16265060240964,2.70194988E8,868794.1736334405,311
Cash,Sports and travel,327409673,b,mandalay,Member,male,726,6,2178,45738,20190113,1951,4356,2178,69,1,19,004761904861194329,no,medium,neutral,69.16265060240964,3.10603461E8,902917.0377906977,344
Ewallet,Electronic accessories,457940464,b,mandalay,Member,male,8787,9,395415,8303715,20190131,2032,79083,395415,56,5,20,004761904652524655,no,high,neutral,69.24705882352941,2.96273397E8,858763.4695652174,345
